codigo_cid,capitulo_cid
A00,Moléstias Infecciosas
A000,Moléstias Infecciosas
A001,Moléstias Infecciosas
A009,Moléstias Infecciosas
A01,Moléstias Infecciosas
A010,Moléstias Infecciosas
A011,Moléstias Infecciosas
A012,Moléstias Infecciosas
A013,Moléstias Infecciosas
A014,Moléstias Infecciosas
A02,Moléstias Infecciosas
A020,Moléstias Infecciosas
A021,Moléstias Infecciosas
A022,Moléstias Infecciosas
A028,Moléstias Infecciosas
A029,Moléstias Infecciosas
A03,Moléstias Infecciosas
A030,Moléstias Infecciosas
A031,Moléstias Infecciosas
A032,Moléstias Infecciosas
A033,Moléstias Infecciosas
A038,Moléstias Infecciosas
A039,Moléstias Infecciosas
A04,Moléstias Infecciosas
A040,Moléstias Infecciosas
A041,Moléstias Infecciosas
A042,Moléstias Infecciosas
A043,Moléstias Infecciosas
A044,Moléstias Infecciosas
A045,Moléstias Infecciosas
A046,Moléstias Infecciosas
A047,Moléstias Infecciosas
A048,Moléstias Infecciosas
A049,Moléstias Infecciosas
A05,Moléstias Infecciosas
A050,Moléstias Infecciosas
A051,Moléstias Infecciosas
A052,Moléstias Infecciosas
A053,Moléstias Infecciosas
A054,Moléstias Infecciosas
A058,Moléstias Infecciosas
A059,Moléstias Infecciosas
A06,Moléstias Infecciosas
A060,Moléstias Infecciosas
A061,Moléstias Infecciosas
A062,Moléstias Infecciosas
A063,Moléstias Infecciosas
A064,Moléstias Infecciosas
A065,Moléstias Infecciosas
A066,Moléstias Infecciosas
A067,Moléstias Infecciosas
A068,Moléstias Infecciosas
A069,Moléstias Infecciosas
A07,Moléstias Infecciosas
A070,Moléstias Infecciosas
A071,Moléstias Infecciosas
A072,Moléstias Infecciosas
A073,Moléstias Infecciosas
A078,Moléstias Infecciosas
A079,Moléstias Infecciosas
A08,Moléstias Infecciosas
A080,Moléstias Infecciosas
A081,Moléstias Infecciosas
A082,Moléstias Infecciosas
A083,Moléstias Infecciosas
A084,Moléstias Infecciosas
A085,Moléstias Infecciosas
A09,Moléstias Infecciosas
A15,Moléstias Infecciosas
A150,Moléstias Infecciosas
A151,Moléstias Infecciosas
A152,Moléstias Infecciosas
A153,Moléstias Infecciosas
A154,Moléstias Infecciosas
A155,Moléstias Infecciosas
A156,Moléstias Infecciosas
A157,Moléstias Infecciosas
A158,Moléstias Infecciosas
A159,Moléstias Infecciosas
A16,Moléstias Infecciosas
A160,Moléstias Infecciosas
A161,Moléstias Infecciosas
A162,Moléstias Infecciosas
A163,Moléstias Infecciosas
A164,Moléstias Infecciosas
A165,Moléstias Infecciosas
A167,Moléstias Infecciosas
A168,Moléstias Infecciosas
A169,Moléstias Infecciosas
A17,Moléstias Infecciosas
A170,Moléstias Infecciosas
A171,Moléstias Infecciosas
A178,Moléstias Infecciosas
A179,Moléstias Infecciosas
A18,Moléstias Infecciosas
A180,Moléstias Infecciosas
A181,Moléstias Infecciosas
